YEAR,SP,SPEC,CONF,COMMONNAME,SCINAME,SPEC6,CONF6
2018,,SHWR,,Sooty-headed Wren,Pheugopedius spadix,PHESPA,
2019,,SHWR,,Sooty-headed Wren,Pheugopedius spadix,PHESPA,
2020,,SHWR,,Sooty-headed Wren,Pheugopedius spadix,PHESPA,
1998,+,SORA,,Sora,Porzana carolina,,*
2000,+,SORA,,Sora,Porzana carolina,Porcar,*
2002,,SORA,,Sora,Porzana carolina,Porcar,
2004,,SORA,,Sora,Porzana carolina,PORCAR,
2006,,SORA,,Sora,Porzana carolina,PORCAR,
2008,,SORA,,Sora,Porzana carolina,PORCAR,
2009,,SORA,,Sora,Porzana carolina,PORCAR,
2010,,SORA,,Sora,Porzana carolina,PORCAR,
2011,,SORA,,Sora,Porzana carolina,PORCAR,
2012,,SORA,,Sora,Porzana carolina,PORCAR,
2013,,SORA,,Sora,Porzana carolina,PORCAR,
2014,,SORA,,Sora,Porzana carolina,PORCAR,
2015,,SORA,,Sora,Porzana carolina,PORCAR,
2016,,SORA,,Sora,Porzana carolina,PORCAR,
2017,,SORA,,Sora,Porzana carolina,PORCAR,
2018,,SORA,,Sora,Porzana carolina,PORCAR,
2019,,SORA,,Sora,Porzana carolina,PORCAR,
2020,,SORA,,Sora,Porzana carolina,PORCAR,
1998,+,SPSK,,South Polar Skua,Catharacta maccormicki,,*
2000,+,SPSK,,South Polar Skua,Stercocarius maccormicki,Stemac,*
2002,,SPSK,,South Polar Skua,Stercocarius maccormicki,Stemac,
2004,,SPSK,,South Polar Skua,Stercocarius maccormicki,STEMAC,
2006,,SPSK,,South Polar Skua,Stercorarius maccormicki,STEMAC,
2008,,SPSK,,South Polar Skua,Stercorarius maccormicki,STEMAC,
2009,,SPSK,,South Polar Skua,Stercorarius maccormicki,STEMAC,
2010,,SPSK,,South Polar Skua,Stercorarius maccormicki,STEMAC,
2011,,SPSK,,South Polar Skua,Stercorarius maccormicki,STEMAC,
2012,,SPSK,,South Polar Skua,Stercorarius maccormicki,STEMAC,
2013,,SPSK,,South Polar Skua,Stercorarius maccormicki,STEMAC,
2014,,SPSK,,South Polar Skua,Stercorarius maccormicki,STEMAC,
2015,,SPSK,,South Polar Skua,Stercorarius maccormicki,STEMAC,
2016,,SPSK,,South Polar Skua,Stercorarius maccormicki,STEMAC,
2017,,SPSK,,South Polar Skua,Stercorarius maccormicki,STEMAC,
2018,,SPSK,,South Polar Skua,Stercorarius maccormicki,STEMAC,
2019,,SPSK,,South Polar Skua,Stercorarius maccormicki,STEMAC,
2020,,SPSK,,South Polar Skua,Stercorarius maccormicki,STEMAC,
1998,+,SOBT,,Southern Beardless-Tyrannulet,Camptostoma obsoletum,,*
2000,+,SOBT,,Southern Beardless-Tyrannulet,Camptostoma obsoletum,Camobs,*
2002,,SOBT,,Southern Beardless-Tyrannulet,Camptostoma obsoletum,Camobs,
2004,,SOBT,,Southern Beardless-Tyrannulet,Camptostoma obsoletum,CAMOBS,
2006,,SOBT,,Southern Beardless-Tyrannulet,Camptostoma obsoletum,CAMOBS,
2008,,SOBT,,Southern Beardless-Tyrannulet,Camptostoma obsoletum,CAMOBS,
2009,,SOBT,,Southern Beardless-Tyrannulet,Camptostoma obsoletum,CAMOBS,
2010,,SOBT,,Southern Beardless-Tyrannulet,Camptostoma obsoletum,CAMOBS,
2011,,SOBT,,Southern Beardless-Tyrannulet,Camptostoma obsoletum,CAMOBS,
2012,,SOBT,,Southern Beardless-Tyrannulet,Camptostoma obsoletum,CAMOBS,
2013,,SOBT,,Southern Beardless-Tyrannulet,Camptostoma obsoletum,CAMOBS,
2014,,SOBT,,Southern Beardless-Tyrannulet,Camptostoma obsoletum,CAMOBS,
2015,,SOBT,,Southern Beardless-Tyrannulet,Camptostoma obsoletum,CAMOBS,
2016,,SOBT,,Southern Beardless-Tyrannulet,Camptostoma obsoletum,CAMOBS,
2017,,SOBT,,Southern Beardless-Tyrannulet,Camptostoma obsoletum,CAMOBS,
2018,,SOBT,,Southern Beardless-Tyrannulet,Camptostoma obsoletum,CAMOBS,
2019,,SOBT,,Southern Beardless-Tyrannulet,Camptostoma obsoletum,CAMOBS,
2020,,SOBT,,Southern Beardless-Tyrannulet,Camptostoma obsoletum,CAMOBS,
1998,+,SOBE,,Southern Bentbill,Oncostoma olivaceum,,*
2000,+,SOBE,,Southern Bentbill,Oncostoma olivaceum,Oncoli,*
2002,,SOBE,,Southern Bentbill,Oncostoma olivaceum,Oncoli,
2004,,SOBE,,Southern Bentbill,Oncostoma olivaceum,ONCOLI,
2006,,SOBE,,Southern Bentbill,Oncostoma olivaceum,ONCOLI,
2008,,SOBE,,Southern Bentbill,Oncostoma olivaceum,ONCOLI,
2009,,SOBE,,Southern Bentbill,Oncostoma olivaceum,ONCOLI,
2010,,SOBE,,Southern Bentbill,Oncostoma olivaceum,ONCOLI,
2011,,SOBE,,Southern Bentbill,Oncostoma olivaceum,ONCOLI,
2012,,SOBE,,Southern Bentbill,Oncostoma olivaceum,ONCOLI,
2013,,SOBE,,Southern Bentbill,Oncostoma olivaceum,ONCOLI,
2014,,SOBE,,Southern Bentbill,Oncostoma olivaceum,ONCOLI,
2015,,SOBE,,Southern Bentbill,Oncostoma olivaceum,ONCOLI,
2016,,SOBE,,Southern Bentbill,Oncostoma olivaceum,ONCOLI,
2017,,SOBE,,Southern Bentbill,Oncostoma olivaceum,ONCOLI,
2018,,SOBE,,Southern Bentbill,Oncostoma olivaceum,ONCOLI,
2019,,SOBE,,Southern Bentbill,Oncostoma olivaceum,ONCOLI,
2020,,SOBE,,Southern Bentbill,Oncostoma olivaceum,ONCOLI,
1998,+,SOHW,,Southern House-Wren,Troglodytes a. musculus,,*
2000,+,SOHW,,Southern House-Wren,Troglodytes a. musculus,,*
2002,+,SOHW,,Southern House-Wren,Troglodytes a. musculus,Troamu,
2004,+,SOHW,,Southern House-Wren,Troglodytes a. musculus,TROAMU,
2006,+,SOHW,,Southern House-Wren,Troglodytes a. musculus,TROAMU,
2008,+,SOHW,,Southern House-Wren,Troglodytes a. musculus,TROAMU,
2009,+,SOHW,,Southern House-Wren,Troglodytes a. musculus,TROAMU,
2010,+,SOHW,,Southern House-Wren,Troglodytes a. musculus,TROAMU,
2011,+,SOHW,,Southern House-Wren,Troglodytes a. musculus,TROAMU,
2012,+,SOHW,,Southern House-Wren,Troglodytes a. musculus,TROAMU,
2013,+,SOHW,,Southern House-Wren,Troglodytes a. musculus,TROAMU,
2014,+,SOHW,,Southern House-Wren,Troglodytes a. musculus,TROAMU,
2015,+,SOHW,,Southern House-Wren,Troglodytes a. musculus,TROAMU,
2016,+,SOHW,,Southern House-Wren,Troglodytes a. musculus,TROAMU,
2017,+,SOHW,,Southern House-Wren,Troglodytes a. musculus,TROAMU,
2018,+,SOHW,,Southern House-Wren,Troglodytes aedon musculus,TROAMU,
2019,+,SOHW,,Southern House-Wren,Troglodytes aedon musculus,TROAMU,
2020,+,SOHW,,Southern House-Wren,Troglodytes aedon musculus,TROAMU,
1998,+,SOLA,,Southern Lapwing,Vanellus chilensis,,*
2000,+,SOLA,,Southern Lapwing,Vanellus chilensis,Vanchi,*
2002,,SOLA,,Southern Lapwing,Vanellus chilensis,Vanchi,
2004,,SOLA,,Southern Lapwing,Vanellus chilensis,VANCHI,
2006,,SOLA,,Southern Lapwing,Vanellus chilensis,VANCHI,
2008,,SOLA,,Southern Lapwing,Vanellus chilensis,VANCHI,
2009,,SOLA,,Southern Lapwing,Vanellus chilensis,VANCHI,
2010,,SOLA,,Southern Lapwing,Vanellus chilensis,VANCHI,
2011,,SOLA,,Southern Lapwing,Vanellus chilensis,VANCHI,
2012,,SOLA,,Southern Lapwing,Vanellus chilensis,VANCHI,
2013,,SOLA,,Southern Lapwing,Vanellus chilensis,VANCHI,
2014,,SOLA,,Southern Lapwing,Vanellus chilensis,VANCHI,
2015,,SOLA,,Southern Lapwing,Vanellus chilensis,VANCHI,
2016,,SOLA,,Southern Lapwing,Vanellus chilensis,VANCHI,
2017,,SOLA,,Southern Lapwing,Vanellus chilensis,VANCHI,
2018,,SOLA,,Southern Lapwing,Vanellus chilensis,VANCHI,
2019,,SOLA,,Southern Lapwing,Vanellus chilensis,VANCHI,
2020,,SOLA,,Southern Lapwing,Vanellus chilensis,VANCHI,
1998,+,SOMA,,Southern Martin,Progne elegans,,*
2000,+,SOMA,,Southern Martin,Progne elegans,Proele,*
2002,,SOMA,,Southern Martin,Progne elegans,Proele,
2004,,SOMA,,Southern Martin,Progne elegans,PROELE,
2006,,SOMA,,Southern Martin,Progne elegans,PROELE,
2008,,SOMA,,Southern Martin,Progne elegans,PROELE,
2009,,SOMA,,Southern Martin,Progne elegans,PROELE,
2010,,SOMA,,Southern Martin,Progne elegans,PROELE,
2011,,SOMA,,Southern Martin,Progne elegans,PROELE,
2012,,SOMA,,Southern Martin,Progne elegans,PROELE,
2013,,SOMA,,Southern Martin,Progne elegans,PROELE,
2014,,SOMA,,Southern Martin,Progne elegans,PROELE,
2015,,SOMA,,Southern Martin,Progne elegans,PROELE,
2016,,SOMA,,Southern Martin,Progne elegans,PROELE,
2017,,SOMA,,Southern Martin,Progne elegans,PROELE,
2018,,SOMA,,Southern Martin,Progne elegans,PROELE,
2019,,SOMA,,Southern Martin,Progne elegans,PROELE,
2020,,SOMA,,Southern Martin,Progne elegans,PROELE,
1998,+,SRWS,,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,,*
2000,+,SRWS,,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,Steruf,*
2002,,SRWS,,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,Steruf,
2004,,SRWS,,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,STERUF,
2006,,SRWS,,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,STERUF,
2008,,SRWS,,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,STERUF,
2009,,SRWS,,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,STERUF,
2010,,SRWS,,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,STERUF,
2011,,SRWS,,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,STERUF,
2012,,SRWS,,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,STERUF,
2013,,SRWS,,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,STERUF,
2014,,SRWS,,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,STERUF,
2015,,SRWS,,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,STERUF,
2016,,SRWS,,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,STERUF,
2017,,SRWS,,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,STERUF,
2018,,SRWS,,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,STERUF,
2019,,SRWS,,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,STERUF,
2020,,SRWS,,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,STERUF,
1998,+,SWFL,,Southwestern Willow Flycatcher,Empidonax t. extimus,,*
2000,+,SWFL,,Southwestern Willow Flycatcher,Empidonax t. extimus,,*
2002,+,SWFL,,Southwestern Willow Flycatcher,Empidonax t. extimus,Emptex,
2004,+,SWFL,,Southwestern Willow Flycatcher,Empidonax t. extimus,EMPTEX,
2006,+,SWFL,,Southwestern Willow Flycatcher,Empidonax t. extimus,EMPTEX,
2008,+,SWFL,,Southwestern Willow Flycatcher,Empidonax t. extimus,EMPTEX,
2009,+,SWFL,,Southwestern Willow Flycatcher,Empidonax t. extimus,EMPTEX,
2010,+,SWFL,,Southwestern Willow Flycatcher,Empidonax t. extimus,EMPTEX,
2011,+,SWFL,,Southwestern Willow Flycatcher,Empidonax t. extimus,EMPTEX,
2012,+,SWFL,,Southwestern Willow Flycatcher,Empidonax t. extimus,EMPTEX,
2013,+,SWFL,,Southwestern Willow Flycatcher,Empidonax t. extimus,EMPTEX,
2014,+,SWFL,,Southwestern Willow Flycatcher,Empidonax t. extimus,EMPTEX,
2015,+,SWFL,,Southwestern Willow Flycatcher,Empidonax t. extimus,EMPTEX,
2016,+,SWFL,,Southwestern Willow Flycatcher,Empidonax t. extimus,EMPTEX,
2017,+,SWFL,,Southwestern Willow Flycatcher,Empidonax t. extimus,EMPTEX,
2018,+,SWFL,,Southwestern Willow Flycatcher,Empidonax traillii extimus,EMPTEX,
2019,+,SWFL,,Southwestern Willow Flycatcher,Empidonax traillii extimus,EMPTEX,
2020,+,SWFL,,Southwestern Willow Flycatcher,Empidonax traillii extimus,EMPTEX,
1998,+,SCHT,*,Spangle-cheeked Tanager,Tangara dowii,,*
2000,+,SCHT,*,Spangle-cheeked Tanager,Tangara dowii,Tandow,*
2002,,SCHT,*,Spangle-cheeked Tanager,Tangara dowii,Tandow,
2004,,SCHT,*,Spangle-cheeked Tanager,Tangara dowii,TANDOW,
2006,,SCHT,*,Spangle-cheeked Tanager,Tangara dowii,TANDOW,
2008,,SCHT,*,Spangle-cheeked Tanager,Tangara dowii,TANDOW,
2009,,SCHT,*,Spangle-cheeked Tanager,Tangara dowii,TANDOW,
2010,,SCHT,*,Spangle-cheeked Tanager,Tangara dowii,TANDOW,
2011,,SCHT,*,Spangle-cheeked Tanager,Tangara dowii,TANDOW,
2012,,SCHT,*,Spangle-cheeked Tanager,Tangara dowii,TANDOW,
2013,,SCHT,*,Spangle-cheeked Tanager,Tangara dowii,TANDOW,
2014,,SCHT,*,Spangle-cheeked Tanager,Tangara dowii,TANDOW,
2015,,SCHT,*,Spangle-cheeked Tanager,Tangara dowii,TANDOW,
2016,,SCHT,*,Spangle-cheeked Tanager,Tangara dowii,TANDOW,
2017,,SCHT,*,Spangle-cheeked Tanager,Tangara dowii,TANDOW,
2018,,SCHT,*,Spangle-cheeked Tanager,Tangara dowii,TANDOW,
2019,,SCHT,*,Spangle-cheeked Tanager,Tangara dowii,TANDOW,
2020,,SCHT,*,Spangle-cheeked Tanager,Tangara dowii,TANDOW,
1998,+,SPTH,*,Sparkling-tailed Hummingbird,Tilmatura dupontii,,*
2000,+,SPTH,*,Sparkling-tailed Hummingbird,Tilmatura dupontii,Tildup,*
2002,,SPTH,*,Sparkling-tailed Hummingbird,Tilmatura dupontii,Tildup,
2004,,SPTH,*,Sparkling-tailed Hummingbird,Tilmatura dupontii,TILDUP,
2006,,SPTH,*,Sparkling-tailed Hummingbird,Tilmatura dupontii,TILDUP,
2008,,SPTH,*,Sparkling-tailed Hummingbird,Tilmatura dupontii,TILDUP,
2009,,SPTH,*,Sparkling-tailed Hummingbird,Tilmatura dupontii,TILDUP,
2010,,SPTH,*,Sparkling-tailed Hummingbird,Tilmatura dupontii,TILDUP,
2011,,SKTH,*,Sparkling-tailed Hummingbird,Tilmatura dupontii,TILDUP,
2012,,SKTH,*,Sparkling-tailed Hummingbird,Tilmatura dupontii,TILDUP,
2013,,SKTH,*,Sparkling-tailed Hummingbird,Tilmatura dupontii,TILDUP,
2014,,SKTH,*,Sparkling-tailed Hummingbird,Tilmatura dupontii,TILDUP,
2015,,SKTH,*,Sparkling-tailed Hummingbird,Tilmatura dupontii,TILDUP,
2016,,SKTH,*,Sparkling-tailed Hummingbird,Tilmatura dupontii,TILDUP,
2017,,SKTH,*,Sparkling-tailed Hummingbird,Tilmatura dupontii,TILDUP,
2018,,SKTH,*,Sparkling-tailed Hummingbird,Tilmatura dupontii,TILDUP,
2019,,SKTH,*,Sparkling-tailed Hummingbird,Tilmatura dupontii,TILDUP,
2020,,SKTH,*,Sparkling-tailed Hummingbird,Tilmatura dupontii,TILDUP,
1998,+,SPMO,,Speckled Mourner,Laniocera rufescens,,*
2000,+,SPMO,,Speckled Mourner,Laniocera rufescens,Lanruf,*
2002,,SPMO,,Speckled Mourner,Laniocera rufescens,Lanruf,
2004,,SPMO,,Speckled Mourner,Laniocera rufescens,LANRUF,
2006,,SPMO,,Speckled Mourner,Laniocera rufescens,LANRUF,
2008,,SPMO,,Speckled Mourner,Laniocera rufescens,LANRUF,
2009,,SPMO,,Speckled Mourner,Laniocera rufescens,LANRUF,
2010,,SPMO,,Speckled Mourner,Laniocera rufescens,LANRUF,
2011,,SPMO,,Speckled Mourner,Laniocera rufescens,LANRUF,
2012,,SPMO,,Speckled Mourner,Laniocera rufescens,LANRUF,
2013,,SPMO,,Speckled Mourner,Laniocera rufescens,LANRUF,
2014,,SPMO,,Speckled Mourner,Laniocera rufescens,LANRUF,
2015,,SPMO,,Speckled Mourner,Laniocera rufescens,LANRUF,
2016,,SPMO,,Speckled Mourner,Laniocera rufescens,LANRUF,
2017,,SPMO,,Speckled Mourner,Laniocera rufescens,LANRUF,
2018,,SPMO,,Speckled Mourner,Laniocera rufescens,LANRUF,
2019,,SPMO,,Speckled Mourner,Laniocera rufescens,LANRUF,
2020,,SPMO,,Speckled Mourner,Laniocera rufescens,LANRUF,
1998,+,SPTA,,Speckled Tanager,Tangara guttata,,*
2000,+,SPTA,,Speckled Tanager,Tangara guttata,Tangut,*
2002,,SPTA,,Speckled Tanager,Tangara guttata,Tangut,
2004,,SPTA,,Speckled Tanager,Tangara guttata,TANGUT,
2006,,SPTA,,Speckled Tanager,Tangara guttata,TANGUT,
2008,,SPTA,,Speckled Tanager,Tangara guttata,TANGUT,
2009,,SPTA,,Speckled Tanager,Tangara guttata,TANGUT,
2010,,SPTA,,Speckled Tanager,Tangara guttata,TANGUT,
2011,,SPTA,,Speckled Tanager,Tangara guttata,TANGUT,
2012,,SPTA,,Speckled Tanager,Tangara guttata,TANGUT,
2013,,SPTA,,Speckled Tanager,Tangara guttata,TANGUT,
2014,,SPTA,,Speckled Tanager,Tangara guttata,TANGUT,
2015,,SPTA,,Speckled Tanager,Tangara guttata,TANGUT,
2016,,SPTA,,Speckled Tanager,Tangara guttata,TANGUT,
2017,,SPTA,,Speckled Tanager,Tangara guttata,TANGUT,
2018,,SPTA,,Speckled Tanager,Tangara guttata,TANGUT,
2019,,SPTA,,Speckled Tanager,Ixothraupis guttata,IXOGUT,
2020,,SPTA,,Speckled Tanager,Ixothraupis guttata,IXOGUT,
1998,+,SPEI,,Spectacled Eider,Somateria fischeri,,*
2000,+,SPEI,,Spectacled Eider,Somateria fischeri,Somfis,*
2002,,SPEI,,Spectacled Eider,Somateria fischeri,Somfis,
2004,,SPEI,,Spectacled Eider,Somateria fischeri,SOMFIS,
2006,,SPEI,,Spectacled Eider,Somateria fischeri,SOMFIS,
2008,,SPEI,,Spectacled Eider,Somateria fischeri,SOMFIS,
2009,,SPEI,,Spectacled Eider,Somateria fischeri,SOMFIS,
2010,,SPEI,,Spectacled Eider,Somateria fischeri,SOMFIS,
2011,,SPEI,,Spectacled Eider,Somateria fischeri,SOMFIS,
2012,,SPEI,,Spectacled Eider,Somateria fischeri,SOMFIS,
2013,,SPEI,,Spectacled Eider,Somateria fischeri,SOMFIS,
2014,,SPEI,,Spectacled Eider,Somateria fischeri,SOMFIS,
2015,,SPEI,,Spectacled Eider,Somateria fischeri,SOMFIS,
2016,,SPEI,,Spectacled Eider,Somateria fischeri,SOMFIS,
2017,,SPEI,,Spectacled Eider,Somateria fischeri,SOMFIS,
2018,,SPEI,,Spectacled Eider,Somateria fischeri,SOMFIS,
2019,,SPEI,,Spectacled Eider,Somateria fischeri,SOMFIS,
2020,,SPEI,,Spectacled Eider,Somateria fischeri,SOMFIS,
1998,+,SPEO,*,Spectacled Owl,Pulsatrix perspicillata,,*
2000,+,SPEO,*,Spectacled Owl,Pulsatrix perspicillata,Pulper,*
2002,,SPEO,*,Spectacled Owl,Pulsatrix perspicillata,Pulper,
2004,,SPEO,*,Spectacled Owl,Pulsatrix perspicillata,PULPER,
2006,,SPEO,*,Spectacled Owl,Pulsatrix perspicillata,PULPER,
2008,,SPEO,*,Spectacled Owl,Pulsatrix perspicillata,PULPER,
2009,,SPEO,*,Spectacled Owl,Pulsatrix perspicillata,PULPER,
2010,,SPEO,*,Spectacled Owl,Pulsatrix perspicillata,PULPER,
2011,,SPEO,*,Spectacled Owl,Pulsatrix perspicillata,PULPER,
2012,,SPEO,*,Spectacled Owl,Pulsatrix perspicillata,PULPER,
2013,,SPEO,*,Spectacled Owl,Pulsatrix perspicillata,PULPER,
2014,,SPEO,*,Spectacled Owl,Pulsatrix perspicillata,PULPER,
2015,,SPEO,*,Spectacled Owl,Pulsatrix perspicillata,PULPER,
2016,,SPEO,*,Spectacled Owl,Pulsatrix perspicillata,PULPER,
2017,,SPEO,*,Spectacled Owl,Pulsatrix perspicillata,PULPER,
2018,,SPEO,*,Spectacled Owl,Pulsatrix perspicillata,PULPER,
2019,,SPEO,*,Spectacled Owl,Pulsatrix perspicillata,PULPER,
2020,,SPEO,*,Spectacled Owl,Pulsatrix perspicillata,PULPER,
1998,+,SPPA,,Spectacled Parrotlet,Forpus conspicillatus,,*
2000,+,SPPA,,Spectacled Parrotlet,Forpus conspicillatus,Forcon,*
2002,,SPPA,,Spectacled Parrotlet,Forpus conspicillatus,Forcon,
2004,,SPPA,,Spectacled Parrotlet,Forpus conspicillatus,FORCON,
2006,,SPPA,,Spectacled Parrotlet,Forpus conspicillatus,FORCON,
2008,,SPPA,,Spectacled Parrotlet,Forpus conspicillatus,FORCON
2009,,SPPA,,Spectacled Parrotlet,Forpus conspicillatus,FORCON
2010,,SPPA,,Spectacled Parrotlet,Forpus conspicillatus,FORCON
2011,,SPPA,,Spectacled Parrotlet,Forpus conspicillatus,FORCON
2012,,SPPA,,Spectacled Parrotlet,Forpus conspicillatus,FORCON
2013,,SPPA,,Spectacled Parrotlet,Forpus conspicillatus,FORCON
2014,,SPPA,,Spectacled Parrotlet,Forpus conspicillatus,FORCON
2015,,SPPA,,Spectacled Parrotlet,Forpus conspicillatus,FORCON
2016,,SPPA,,Spectacled Parrotlet,Forpus conspicillatus,FORCON
2017,,SPPA,,Spectacled Parrotlet,Forpus conspicillatus,FORCON
2018,,SPPA,,Spectacled Parrotlet,Forpus conspicillatus,FORCON
2019,,SPPA,,Spectacled Parrotlet,Forpus conspicillatus,FORCON
2020,,SPPA,,Spectacled Parrotlet,Forpus conspicillatus,FORCON
2011,,SPTH,,Spectacled Thrush,Turdus nudigenis,TURNUD
2012,,SPTH,,Spectacled Thrush,Turdus nudigenis,TURNUD
2013,,SPTH,,Spectacled Thrush,Turdus nudigenis,TURNUD
2014,,SPTH,,Spectacled Thrush,Turdus nudigenis,TURNUD,
2015,,SPTH,,Spectacled Thrush,Turdus nudigenis,TURNUD,
2016,,SPTH,,Spectacled Thrush,Turdus nudigenis,TURNUD,
2017,,SPTH,,Spectacled Thrush,Turdus nudigenis,TURNUD,
2018,,SPTH,,Spectacled Thrush,Turdus nudigenis,TURNUD,
2019,,SPTH,,Spectacled Thrush,Turdus nudigenis,TURNUD,
2020,,SPTH,,Spectacled Thrush,Turdus nudigenis,TURNUD,
1998,+,SFAN,,Spiny-faced Antshrike,Xenornis setifrons,,*
2000,+,SFAN,,Spiny-faced Antshrike,Xenornis setifrons,Xenset,*
2002,,SFAN,,Spiny-faced Antshrike,Xenornis setifrons,Xenset,
2004,,SFAN,,Spiny-faced Antshrike,Xenornis setifrons,XENSET,
2006,,SFAN,,Spiny-faced Antshrike,Xenornis setifrons,XENSET,
2008,,SFAN,,Spiny-faced Antshrike,Xenornis setifrons,XENSET,
2009,,SFAN,,Spiny-faced Antshrike,Xenornis setifrons,XENSET,
2010,,SFAN,,Spiny-faced Antshrike,Xenornis setifrons,XENSET,
2011,,SFAN,,Spiny-faced Antshrike,Xenornis setifrons,XENSET,
2012,,SFAN,,Spiny-faced Antshrike,Xenornis setifrons,XENSET
2013,,SFAN,,Spiny-faced Antshrike,Xenornis setifrons,XENSET
2014,,SFAN,,Spiny-faced Antshrike,Xenornis setifrons,XENSET
2015,,SFAN,,Spiny-faced Antshrike,Xenornis setifrons,XENSET
2016,,SFAN,,Spiny-faced Antshrike,Xenornis setifrons,XENSET
2017,,SFAN,,Spiny-faced Antshrike,Xenornis setifrons,XENSET
2018,,SFAN,,Spiny-faced Antshrike,Xenornis setifrons,XENSET
2019,,SFAN,,Spiny-faced Antshrike,Xenornis setifrons,XENSET
2020,,SFAN,,Spiny-faced Antshrike,Xenornis setifrons,XENSET
2004,,SBSA,,Spoon-billed Sandpiper,Eurynorhynchus pygmeus,EURPYG
2006,,SBSA,,Spoon-billed Sandpiper,Eurynorhynchus pygmeus,EURPYG
2008,,SBSA,,Spoon-billed Sandpiper,Eurynorhynchus pygmeus,EURPYG
2009,,SBSA,,Spoon-billed Sandpiper,Eurynorhynchus pygmeus,EURPYG
2010,,SBSA,,Spoon-billed Sandpiper,Eurynorhynchus pygmeus,EURPYG
2011,,SBSA,,Spoon-billed Sandpiper,Eurynorhynchus pygmeus,EURPYG
2012,,SBSA,,Spoon-billed Sandpiper,Eurynorhynchus pygmeus,EURPYG
2013,,SBSA,,Spoon-billed Sandpiper,Calidris pygmea,CALPYG,
2014,,SBSA,,Spoon-billed Sandpiper,Calidris pygmea,CALPYG,
2015,,SBSA,,Spoon-billed Sandpiper,Calidris pygmea,CALPYG,
2016,,SBSA,,Spoon-billed Sandpiper,Calidris pygmea,CALPYG,
2017,,SBSA,,Spoon-billed Sandpiper,Calidris pygmea,CALPYG,
2018,,SBSA,,Spoon-billed Sandpiper,Calidris pygmea,CALPYG,
2019,,SBSA,,Spoon-billed Sandpiper,Calidris pygmea,CALPYG,
2020,,SBSA,,Spoon-billed Sandpiper,Calidris pygmea,CALPYG,
1998,+,SPOS,*,Spoonbill Sandpiper,Eurynorhynchus pygmeus,,*
2000,+,SPOS,*,Spoonbill Sandpiper,Eurynorhynchus pygmeus,Eurpyg,*
2002,,SPOS,*,Spoonbill Sandpiper,Eurynorhynchus pygmeus,Eurpyg,
1998,+,SBDU,,Spot-billed Duck,Anas poecilorhyncha,,*
2000,+,SBDU,,Spot-billed Duck,Anas poecilorhyncha,Anapoe,*
2002,,SBDU,,Spot-billed Duck,Anas poecilorhyncha,Anapoe,
2004,,SBDU,,Spot-billed Duck,Anas poecilorhyncha,ANAPOE,
2006,,SBDU,,Spot-billed Duck,Anas poecilorhyncha,ANAPOE,
1998,+,SPOO,*,Spot-breasted Oriole,Icterus pectoralis,,*
2000,+,SBOR,,Spot-breasted Oriole,Icterus pectoralis,Ictpec,*
2002,,SBOR,,Spot-breasted Oriole,Icterus pectoralis,Ictpec,
2004,,SBOR,,Spot-breasted Oriole,Icterus pectoralis,ICTPEC,
2006,,SBOR,,Spot-breasted Oriole,Icterus pectoralis,ICTPEC,
2008,,SBOR,,Spot-breasted Oriole,Icterus pectoralis,ICTPEC,
2009,,SBOR,,Spot-breasted Oriole,Icterus pectoralis,ICTPEC,
2010,,SBOR,,Spot-breasted Oriole,Icterus pectoralis,ICTPEC,
2011,,SBOR,,Spot-breasted Oriole,Icterus pectoralis,ICTPEC,
2012,,SBOR,,Spot-breasted Oriole,Icterus pectoralis,ICTPEC,
2013,,SBOR,,Spot-breasted Oriole,Icterus pectoralis,ICTPEC,
2014,,SBOR,,Spot-breasted Oriole,Icterus pectoralis,ICTPEC,
2015,,SBOR,,Spot-breasted Oriole,Icterus pectoralis,ICTPEC,
2016,,SBOR,,Spot-breasted Oriole,Icterus pectoralis,ICTPEC,
2017,,SBOR,,Spot-breasted Oriole,Icterus pectoralis,ICTPEC,
2018,,SBOR,,Spot-breasted Oriole,Icterus pectoralis,ICTPEC,
2019,,SBOR,,Spot-breasted Oriole,Icterus pectoralis,ICTPEC,
2020,,SBOR,,Spot-breasted Oriole,Icterus pectoralis,ICTPEC,
1998,+,SBWP,*,Spot-breasted Woodpecker,Colaptes punctigula,,*
2000,+,SBWP,*,Spot-breasted Woodpecker,Colaptes punctigula,Colpun,*
