YEAR,SP,SPEC,CONF,COMMONNAME,SCINAME,SPEC6,CONF6
1998,+,AKIA,,Akiapolaau,Hemignathus munroi,,*
2000,+,AKIA,,Akiapolaau,Hemignathus munroi,Hemmun,*
2002,,AKIA,,Akiapolaau,Hemignathus munroi,Hemmun,
2004,,AKIA,,Akiapolaau,Hemignathus munroi,HEMMUN,
2006,,AKIA,,Akiapolaau,Hemignathus munroi,HEMMUN,
2008,,AKIA,,Akiapolaau,Hemignathus munroi,HEMMUN,
2009,,AKIA,,Akiapolaau,Hemignathus munroi,HEMMUN,
2010,,AKIA,,Akiapolaau,Hemignathus munroi,HEMMUN,
2011,,AKIA,,Akiapolaau,Hemignathus munroi,HEMMUN,
2012,,AKIA,,Akiapolaau,Hemignathus munroi,HEMMUN,
2013,,AKIA,,Akiapolaau,Hemignathus munroi,HEMMUN,
2014,,AKIA,,Akiapolaau,Hemignathus munroi,HEMMUN,
2015,,AKIA,,Akiapolaau,Hemignathus wilsoni,HEMWIL,
2016,,AKIA,,Akiapolaau,Hemignathus wilsoni,HEMWIL,
2017,,AKIA,,Akiapolaau,Hemignathus wilsoni,HEMWIL,
2018,,AKIA,,Akiapolaau,Hemignathus wilsoni,HEMWIL,
2019,,AKIA,,Akiapolaau,Hemignathus wilsoni,HEMWIL,
2020,,AKIA,,Akiapolaau,Hemignathus wilsoni,HEMWIL,
1998,+,AKIK,,Akikiki,Oreomystis bairdi,,*
2000,+,AKIK,,Akikiki,Oreomystis bairdi,Orebai,*
2002,,AKIK,,Akikiki,Oreomystis bairdi,Orebai,
2004,,AKIK,,Akikiki,Oreomystis bairdi,OREBAI,
2006,,AKIK,,Akikiki,Oreomystis bairdi,OREBAI,
2008,,AKIK,,Akikiki,Oreomystis bairdi,OREBAI,
2009,,AKIK,,Akikiki,Oreomystis bairdi,OREBAI,
2010,,AKIK,,Akikiki,Oreomystis bairdi,OREBAI,
2011,,AKIK,,Akikiki,Oreomystis bairdi,OREBAI,
2012,,AKIK,,Akikiki,Oreomystis bairdi,OREBAI,
2013,,AKIK,,Akikiki,Oreomystis bairdi,OREBAI,
2014,,AKIK,,Akikiki,Oreomystis bairdi,OREBAI,
2015,,AKIK,,Akikiki,Oreomystis bairdi,OREBAI,
2016,,AKIK,,Akikiki,Oreomystis bairdi,OREBAI,
2017,,AKIK,,Akikiki,Oreomystis bairdi,OREBAI,
2018,,AKIK,,Akikiki,Oreomystis bairdi,OREBAI,
2019,,AKIK,,Akikiki,Oreomystis bairdi,OREBAI,
2020,,AKIK,,Akikiki,Oreomystis bairdi,OREBAI,
1998,+,AKOH,,Akohekohe,Palmeria dolei,,*
2000,+,AKOH,,Akohekohe,Palmeria dolei,Paldol,*
2002,,AKOH,,Akohekohe,Palmeria dolei,Paldol,
2004,,AKOH,,Akohekohe,Palmeria dolei,PALDOL,
2006,,AKOH,,Akohekohe,Palmeria dolei,PALDOL,
2008,,AKOH,,Akohekohe,Palmeria dolei,PALDOL,
2009,,AKOH,,Akohekohe,Palmeria dolei,PALDOL,
2010,,AKOH,,Akohekohe,Palmeria dolei,PALDOL,
2011,,AKOH,,Akohekohe,Palmeria dolei,PALDOL,
2012,,AKOH,,Akohekohe,Palmeria dolei,PALDOL,
2013,,AKOH,,Akohekohe,Palmeria dolei,PALDOL,
2014,,AKOH,,Akohekohe,Palmeria dolei,PALDOL,
2015,,AKOH,,Akohekohe,Palmeria dolei,PALDOL,
2016,,AKOH,,Akohekohe,Palmeria dolei,PALDOL,
