Species Number,Alpha Code,Common Name,Band Size,French Name,Scientific Name,T & E*,Taxonomic Order,Comments
8780,SHGD,Shy Ground Dove,"3A, 4",Gallicolombe de stair,Alopecoenas stairi,Y,473,
8790,MICK,Micronesian Kingfisher,3,Martin-chasseur cannelle,Todiramphus cinnamominus,Y,574,Includes subspecies not T. c. cinnamominus.
8791,GMKI,Guam Micronesian Kingfisher,3,,Todiramphus cinnamominus cinnamominus,Y,575,Endangered subspecies on Guam.
8800,MGSW,Mariana Gray Swiftlet,0,Salangane de Guam,Aerodramus vanikorensis bartschi,Y,536,
8810,ROWE,Rota White-eye,0,Zostérops de Rota,Zosterops rotensis,Y,814,
9067,ANMA,Antillean Mango,X,Mango doré,Anthracothorax dominicus,,540,
9071,STTL,Streamertail,X,Colibri à tête noire,Trochilus polytmus,,567,
9081,JATO,Jamaican Tody,0,Todier de la Jamaïque,Todus todus,,571,
9094,SAFL,Sad Flycatcher,"1C, 1",Tyran triste,Myiarchus barbirostris,,663,
9099,YBEL,Yellow-bellied Elaenia,"1, 1B",Élénie à ventre jaune,Elaenia flavogaster,,634,
9101,GAEL,Greater Antillean Elaenia,"0A, 0",Élénie sara,Elaenia fallax,,635,
9102,JAEL,Jamaican Elaenia,"0A, 0",Élénie de la Jamaïque,Myiopagis cotta,,631,
9107,JACR,Jamaican Crow,6,Corneille de la Jamaïque,Corvus jamaicensis,,735,
9109,SHWR,Southern House Wren,0,Troglodyte familier du sud,Troglodytes aedon musculus,,783,
9116,BRTR,Brown Trembler,"2, 1D",Trembleur brun,Cinclocerthia ruficauda,,857,
9120,WETH,White-eyed Thrush,2,Merle aux yeux blancs,Turdus jamaicensis,,848,
9122,WCTH,White-chinned Thrush,2,Merle à miroir,Turdus aurantius,,851,
9127,RTSO,Rufous-throated Solitaire,"1, 1B, 1C",Solitaire siffleur,Myadestes genibarbis,,830,
9130,TBVI,Thick-billed Vireo,"1C, 1",Viréo à bec fort,Vireo crassirostris,,694,
9132,JAVI,Jamaican Vireo,0,Viréo de la Jamaïque,Vireo modestus,,695,
9138,OLIW,Olive-capped Warbler,0A,Paruline à calotte verte,Setophaga pityophila,,944,
9141,ARRW,Arrowhead Warbler,0A,Paruline de la Jamaïque,Setophaga pharetra,,927,
9145,BAYE,Bahama Yellowthroat,"1, 1C",Paruline des Bahamas,Geothlypis rostrata,,924,
9151,ORAN,Orangequit,"1C, 1",Pique-orange de la Jamaïque,Euneornis campestris,,990,
9153,JAEU,Jamaican Euphonia,"0, 0A",Organiste de la Jamaïque,Euphonia jamaica,,1119,
9166,VETR,Venezuelan Troupial,3,Oriole troupiale,Icterus icterus,,1107,
9169,JAOR,Jamaican Oriole,"2, 1D",Oriole de la Jamaïque,Icterus leucopteryx,,1111,
9176,YSGR,Yellow-shouldered Grassquit,"0, 1",Sporophile mantelé,Loxipasser anoxanthus,,986,
9178,GABU,Greater Antillean Bullfinch,"1B, 1",Sporophile petit-coq,Melopyrrha violacea,,988,
9182,YBSE,Yellow-bellied Seedeater,0,Sporophile à ventre jaune,Sporophila nigricollis,,982,
9184,BBGR,Blue-black Grassquit,"0, 0A",Jacarini noir,Volatinia jacarina,,980,
9986,HYNO,Hybrid Nonpasserine,"1A, 3A, 4, 4A, 5, 6, 7, 7A, 7B",Hybride de non-passerin,,,607,Report suspected parentage as a Remark (e.g. Species1 x Species2).
9996,HYPA,Hybrid Passerine,"0, 0A, 1, 1A, 1B, 1D, 3A, 3B",Hybride de passerin,,,608,Report suspected parentage as a Remark (e.g. Species1 x Species2).
