Species Number,Alpha Code,Common Name,Band Size,French Name,Scientific Name,T & E*,Taxonomic Order,Comments
4123,FLIN,Flicker Intergrade,"3, 3B",Pic intermédiaire,Colaptes auratus,,602,To be used for Northern Flickers that appear to be intergrades between two subspecies.
4130,RSFL,Red-shafted Flicker,"3, 3B",Pic rosé,Colaptes auratus cafer,,603,
4140,GIFL,Gilded Flicker,3,Pic chrysoïde,Colaptes chrysoides,,604,
4160,CWWI,Chuck-will's-widow,3,Engoulevent de Caroline,Antrostomus carolinensis,,525,
4161,BCNI,Buff-collared Nightjar,2,Engoulevent de Ridgway,Antrostomus ridgwayi,,526,
4170,EWPW,Eastern Whip-poor-will,"1D, 2, 1A",Engoulevent bois-pourri,Antrostomus vociferus,Y,527,
4171,PRNI,Puerto Rican Nightjar,"1D, 1A, 2",Engoulevent de Porto Rico,Antrostomus noctitherus,Y,529,
4172,MWPW,Mexican Whip-poor-will,"1D, 1A, 2",Engoulevent d'Arizona,Antrostomus arizonae,,528,
4180,COPO,Common Poorwill,"1A, 1D, 2",Engoulevent de Nuttall,Phalaenoptilus nuttallii,,524,
4190,COPA,Common Pauraque,"2, 1D",Engoulevent pauraqué,Nyctidromus albicollis,,523,
4200,CONI,Common Nighthawk,"1D, 2, 1A",Engoulevent d'Amérique,Chordeiles minor,Alberta,521,
4200,CONI,Common Nighthawk,"1D, 2, 1A",Engoulevent d'Amérique,Chordeiles minor,British Columbia,521,
4200,CONI,Common Nighthawk,"1D, 2, 1A",Engoulevent d'Amérique,Chordeiles minor,Manitoba,521,
4200,CONI,Common Nighthawk,"1D, 2, 1A",Engoulevent d'Amérique,Chordeiles minor,New Brunswick,521,
4200,CONI,Common Nighthawk,"1D, 2, 1A",Engoulevent d'Amérique,Chordeiles minor,Newfoundland and Labrador,521,
4200,CONI,Common Nighthawk,"1D, 2, 1A",Engoulevent d'Amérique,Chordeiles minor,Nova Scotia,521,
4200,CONI,Common Nighthawk,"1D, 2, 1A",Engoulevent d'Amérique,Chordeiles minor,Ontario,521,
4200,CONI,Common Nighthawk,"1D, 2, 1A",Engoulevent d'Amérique,Chordeiles minor,Prince Edward Island,521,
4200,CONI,Common Nighthawk,"1D, 2, 1A",Engoulevent d'Amérique,Chordeiles minor,Québec,521,
4200,CONI,Common Nighthawk,"1D, 2, 1A",Engoulevent d'Amérique,Chordeiles minor,Saskatchewan,521,
4200,CONI,Common Nighthawk,"1D, 2, 1A",Engoulevent d'Amérique,Chordeiles minor,Yukon Territory,521,
4200,CONI,Common Nighthawk,"1D, 2, 1A",Engoulevent d'Amérique,Chordeiles minor,Northwest Territories,521,
4201,ANNI,Antillean Nighthawk,"2, 1A, 1D",Engoulevent piramidig,Chordeiles gundlachii,,522,
4210,LENI,Lesser Nighthawk,"1D, 1A, 2",Engoulevent minime,Chordeiles acutipennis,,520,
4220,BLSW,Black Swift,"1A, 1B",Martinet sombre,Cypseloides niger,Y,530,
4230,CHSW,Chimney Swift,"1B, 1",Martinet ramoneur,Chaetura pelagica,Manitoba,531,
4230,CHSW,Chimney Swift,"1B, 2",Martinet ramoneur,Chaetura pelagica,New Brunswick,531,
4230,CHSW,Chimney Swift,"1B, 3",Martinet ramoneur,Chaetura pelagica,Nova Scotia,531,
4230,CHSW,Chimney Swift,"1B, 4",Martinet ramoneur,Chaetura pelagica,Ontario,531,
4230,CHSW,Chimney Swift,"1B, 5",Martinet ramoneur,Chaetura pelagica,Québec,531,
4230,CHSW,Chimney Swift,"1B, 6",Martinet ramoneur,Chaetura pelagica,Saskatchewan,531,
4231,STSW,Short-tailed Swift,"1B, 1, 1C",Martinet polioure,Chaetura brachyura,,533,
4240,VASW,Vaux's Swift,1,Martinet de Vaux,Chaetura vauxi,,532,
4250,WTSW,White-throated Swift,2,Martinet à gorge blanche,Aeronautes saxatalis,,537,
4260,MAHU,Magnificent Hummingbird,X,Colibri de Rivoli,Eugenes fulgens,,544,"Appropriate band size determined based on species, gender, and geographic considerations."
4261,PCST,Plain-capped Starthroat,X,Colibri de Constant,Heliomaster constantii,,545,"Appropriate band size determined based on species, gender, and geographic considerations."
4270,BLUH,Blue-throated Hummingbird,X,Colibri à gorge bleue,Lampornis clemenciae,,546,"Appropriate band size determined based on species, gender, and geographic considerations."
4271,GVIO,Green Violetear,X,Colibri thalassin,Colibri thalassinus,,538,"Appropriate band size determined based on species, gender, and geographic considerations."
4280,RTHU,Ruby-throated Hummingbird,X,Colibri à gorge rubis,Archilochus colubris,,549,"Appropriate band size determined based on species, gender, and geographic considerations."
4290,BCHU,Black-chinned Hummingbird,X,Colibri à gorge noire,Archilochus alexandri,,550,"Appropriate band size determined based on species, gender, and geographic considerations."
4300,COHU,Costa's Hummingbird,X,Colibri de Costa,Calypte costae,,552,"Appropriate band size determined based on species, gender, and geographic considerations."
4310,ANHU,Anna's Hummingbird,X,Colibri d'Anna,Calypte anna,,551,"Appropriate band size determined based on species, gender, and geographic considerations."
4320,BTLH,Broad-tailed Hummingbird,X,Colibri à queue large,Selasphorus platycercus,,554,"Appropriate band size determined based on species, gender, and geographic considerations."
4330,RUHU,Rufous Hummingbird,X,Colibri roux,Selasphorus rufus,,555,"Appropriate band size determined based on species, gender, and geographic considerations."
4340,ALHU,Allen's Hummingbird,X,Colibri d'Allen,Selasphorus sasin,,556,"Appropriate band size determined based on species, gender, and geographic considerations."
4350,BUHU,Bumblebee Hummingbird,X,Colibri héloïse,Atthis heloisa,,553,"Appropriate band size determined based on species, gender, and geographic considerations."
4360,CAHU,Calliope Hummingbird,X,Colibri calliope,Selasphorus calliope,,559,"Appropriate band size determined based on species, gender, and geographic considerations."
4361,JAMA,Jamaican Mango,X,Mango de la Jamaïque,Anthracothorax mango,,542,"Appropriate band size determined based on species, gender, and geographic considerations."
4362,GRMA,Green Mango,X,Mango vert,Anthracothorax viridis,,541,
4363,GTCA,Green-throated Carib,X,Colibri falle-vert,Eulampis holosericeus,,543,
4364,ACHU,Antillean Crested Hummingbird,X,Colibri huppé,Orthorhyncus cristatus,,562,
4366,GREM,Green-breasted Mango,X,Mango de Prévost,Anthracothorax prevostii,,539,"Appropriate band size determined based on species, gender, and geographic considerations."
4370,LUHU,Lucifer Hummingbird,X,Colibri lucifer,Calothorax lucifer,,548,"Appropriate band size determined based on species, gender, and geographic considerations."
4371,BAWO,Bahama Woodstar,X,Colibri des Bahamas,Nesophlox evelynae,,547,"Appropriate band size determined based on species, gender, and geographic considerations."
4380,RUFH,Rufous-tailed Hummingbird,X,Ariane à ventre gris,Amazilia tzacatl,,564,"Appropriate band size determined based on species, gender, and geographic considerations."
4381,BEHU,Berylline Hummingbird,X,Ariane béryl,Amazilia beryllina,,563,"Appropriate band size determined based on species, gender, and geographic considerations."
4390,BUFH,Buff-bellied Hummingbird,X,Ariane du Yucatan,Amazilia yucatanensis,,565,"Appropriate band size determined based on species, gender, and geographic considerations."
4391,VCHU,Violet-crowned Hummingbird,X,Ariane à couronne violette,Amazilia violiceps,,566,"Appropriate band size determined based on species, gender, and geographic considerations."
4401,WEHU,White-eared Hummingbird,X,Saphir à oreilles blanches,Hylocharis leucotis,,568,"Appropriate band size determined based on species, gender, and geographic considerations."
4402,PREM,Puerto Rican Emerald,X,Émeraude de Porto Rico,Chlorostilbon maugaeus,,560,"Appropriate band size determined based on species, gender, and geographic considerations."
4408,HYHU,Hybrid Hummingbird,X,Hybride de colibri,,,557,"Appropriate band size determined based on species, gender, and geographic considerations. Explain in remarks what the parent species were"
4409,UNHU,Unidentified Hummingbird,X,Colibri non identifié,,,558,"Appropriate band size determined based on species, gender, and geographic considerations."
4410,BBLH,Broad-billed Hummingbird,X,Colibri circé,Cynanthus latirostris,,561,"Appropriate band size determined based on species, gender, and geographic considerations."
4411,RTBE,Rose-throated Becard,"1B, 1A, 1",Bécarde à gorge rose,Pachyramphus aglaiae,,685,
4420,FTFL,Fork-tailed Flycatcher,"1A, 1B, 1",Tyran des savanes,Tyrannus savana,,684,
4430,STFL,Scissor-tailed Flycatcher,1A,Tyran à longue queue,Tyrannus forficatus,,683,
4440,EAKI,Eastern Kingbird,1B,Tyran tritri,Tyrannus tyrannus,,680,
4450,GRAK,Gray Kingbird,"1A, 1D, 1B",Tyran gris,Tyrannus dominicensis,,681,
4451,TBKI,Thick-billed Kingbird,1A,Tyran à bec épais,Tyrannus crassirostris,,678,
4452,LOKI,Loggerhead Kingbird,"1A, 1B",Tyran tête-police,Tyrannus caudifasciatus,,682,
4460,TRKI,Tropical Kingbird,"1A, 1B, 1D",Tyran mélancolique,Tyrannus melancholicus,,675,
4461,COKI,Couch's Kingbird,"1A, 1B",Tyran de Couch,Tyrannus couchii,,676,
4470,WEKI,Western Kingbird,"1A, 1B",Tyran de l'Ouest,Tyrannus verticalis,,679,
4480,CAKI,Cassin's Kingbird,1A,Tyran de Cassin,Tyrannus vociferans,,677,
4490,GKIS,Great Kiskadee,"2, 1D",Tyran quiquivi,Pitangus sulphuratus,,673,
4510,SBFL,Sulphur-bellied Flycatcher,"1B, 1A",Tyran tigré,Myiodynastes luteiventris,,674,
4520,GCFL,Great Crested Flycatcher,"1A, 1B",Tyran huppé,Myiarchus crinitus,,667,
4530,BCFL,Brown-crested Flycatcher,1A,Tyran de Wied,Myiarchus tyrannulus,,668,
4531,NUFL,Nutting's Flycatcher,1B,Tyran de Nutting,Myiarchus nuttingi,,666,
4540,ATFL,Ash-throated Flycatcher,"1B, 1A, 1",Tyran à gorge cendrée,Myiarchus cinerascens,,665,
4550,DCFL,Dusky-capped Flycatcher,"1B, 1, 1C",Tyran olivâtre,Myiarchus tuberculifer,,664,
4551,LSFL,La Sagra's Flycatcher,"1, 1B, 1C",Tyran de La Sagra,Myiarchus sagrae,,669,
4552,PRFL,Puerto Rican Flycatcher,"1B, 1A, 1",Tyran de Porto Rico,Myiarchus antillarum,,671,
4553,STOF,Stolid Flycatcher,1B,Tyran grosse-tête,Myiarchus stolidus,,670,
4554,LESF,Lesser Antillean Flycatcher,1B,Tyran janeau,Myiarchus oberi,,672,
4560,EAPH,Eastern Phoebe,"0, 1C, 1",Moucherolle phébi,Sayornis phoebe,,660,
4570,SAPH,Say's Phoebe,"1, 1C",Moucherolle à ventre roux,Sayornis saya,,661,
4580,BLPH,Black Phoebe,"1, 1C",Moucherolle noir,Sayornis nigricans,,659,
4590,OSFL,Olive-sided Flycatcher,"1B, 1, 1C",Moucherolle à côtés olive,Contopus cooperi,Alberta,636,
4590,OSFL,Olive-sided Flycatcher,"1B, 1, 1C",Moucherolle à côtés olive,Contopus cooperi,British Columbia,636,
4590,OSFL,Olive-sided Flycatcher,"1B, 1, 1C",Moucherolle à côtés olive,Contopus cooperi,Manitoba,636,
4590,OSFL,Olive-sided Flycatcher,"1B, 1, 1C",Moucherolle à côtés olive,Contopus cooperi,New Brunswick,636,
4590,OSFL,Olive-sided Flycatcher,"1B, 1, 1C",Moucherolle à côtés olive,Contopus cooperi,Newfoundland and Labrador,636,
4590,OSFL,Olive-sided Flycatcher,"1B, 1, 1C",Moucherolle à côtés olive,Contopus cooperi,Nova Scotia,636,
4590,OSFL,Olive-sided Flycatcher,"1B, 1, 1C",Moucherolle à côtés olive,Contopus cooperi,Ontario,636,
4590,OSFL,Olive-sided Flycatcher,"1B, 1, 1C",Moucherolle à côtés olive,Contopus cooperi,Prince Edward Island,636,
4590,OSFL,Olive-sided Flycatcher,"1B, 1, 1C",Moucherolle à côtés olive,Contopus cooperi,Québec,636,
4590,OSFL,Olive-sided Flycatcher,"1B, 1, 1C",Moucherolle à côtés olive,Contopus cooperi,Saskatchewan,636,
4590,OSFL,Olive-sided Flycatcher,"1B, 1, 1C",Moucherolle à côtés olive,Contopus cooperi,Yukon Territory,636,
4590,OSFL,Olive-sided Flycatcher,"1B, 1, 1C",Moucherolle à côtés olive,Contopus cooperi,Northwest Territories,636,
4600,GRPE,Greater Pewee,"1B, 1",Moucherolle de Coues,Contopus pertinax,,637,
4610,EAWP,Eastern Wood-Pewee,"0A, 0, 1C, 1",Pioui de l'Est,Contopus virens,,639,
4620,WEWP,Western Wood-Pewee,"0A, 0, 1C, 1",Pioui de l'Ouest,Contopus sordidulus,,638,
4621,CUPE,Cuban Pewee,"0, 0A, 1",Moucherolle tête-fou,Contopus caribaeus,,640,
4622,LAPE,Lesser Antillean Pewee,"0, 0A, 1C",Moucherolle gobemouche,Contopus latirostris,,643,
4623,JAPE,Jamaican Pewee,"0, 1C, 1",Moucherolle de la Jamaïque,Contopus pallidus,,641,
4624,HIPE,Hispaniolan Pewee,"0, 1C, 1",Moucherolle d'Hispaniola,Contopus hispaniolensis,,642,
4630,YBFL,Yellow-bellied Flycatcher,"0A, 0",Moucherolle à ventre jaune,Empidonax flaviventris,,644,
4640,COFL,Cordilleran Flycatcher,"0A, 0",Moucherolle des ravins,Empidonax occidentalis,,656,AOU split from 4649-WEFL in 1989.
4641,PSFL,Pacific-slope Flycatcher,"0A, 0",Moucherolle côtier,Empidonax difficilis,,654,AOU split from 4649-WEFL in 1989.
4649,WEFL,Western Flycatcher,"0A, 0",Moucherolle des ravins/Moucherolle côtier non identifié,,,655,
4650,ACFL,Acadian Flycatcher,"0A, 0",Moucherolle vert,Empidonax virescens,Ontario,645,
4660,WIFL,Willow Flycatcher,"0A, 0",Moucherolle des saules,Empidonax traillii,,648,AOU split from 4669-TRFL in 1973.
4661,ALFL,Alder Flycatcher,"0A, 0",Moucherolle des aulnes,Empidonax alnorum,,646,AOU split from 4669-TRFL in 1973.
4664,SWFL,Southwestern Willow Flycatcher,"0, 0A",Moucherolle des saules forme du Sud-Ouest,Empidonax traillii extimus,Y,649,
4669,TRFL,Traill's Flycatcher,"0A, 0",Moucherolle de Traill,,,647,"Empidonax alnorum and E. traillii, prior to split in 1973."
4670,LEFL,Least Flycatcher,"0A, 0",Moucherolle tchébec,Empidonax minimus,,650,
4679,UNEM,Unidentified Empidonax,"0A, 0",Moucherolle Empidonax non identifié,,,658,Explain in Remarks why the unidentified code was chosen
4680,HAFL,Hammond's Flycatcher,"0A, 0",Moucherolle de Hammond,Empidonax hammondii,,651,
4690,DUFL,Dusky Flycatcher,"0A, 0",Moucherolle sombre,Empidonax oberholseri,,653,
4691,GRFL,Gray Flycatcher,"0A, 0",Moucherolle gris,Empidonax wrightii,,652,
4700,BBFL,Buff-breasted Flycatcher,"0A, 0",Moucherolle beige,Empidonax fulvifrons,,657,
4710,VEFL,Vermilion Flycatcher,"0, 0A, 1C, 1",Moucherolle vermillon,Pyrocephalus rubinus,,662,
4711,GREL,Greenish Elaenia,"0A, 0",Élénie verdâtre,Myiopagis viridicata,,632,
4720,NBTY,Northern Beardless-Tyrannulet,"0A, 0",Tyranneau imberbe,Camptostoma imberbe,,630,
4721,CAEL,Caribbean Elaenia,"1, 1C, 0, 1B",Élénie siffleuse,Elaenia martinica,,633,
4730,EUSK,Eurasian Skylark,1B,Alouette des champs,Alauda arvensis,,744,
4740,HOLA,Horned Lark,1B,Alouette hausse-col,Eremophila alpestris,Y,745,strigata subspecies endangered in BC
4741,SHLA,Streaked Horned Lark,1B,,Eremophila alpestris strigata,Y,746,"E. a. strigata only in OR, WA. BC"
4750,BBMA,Black-billed Magpie,"4, 3A, 3B",Pie d'Amérique,Pica hudsonia,,729,
4760,YBMA,Yellow-billed Magpie,3A,Pie à bec jaune,Pica nuttalli,,730,
4770,BLJA,Blue Jay,"2, 3, 2A",Geai bleu,Cyanocitta cristata,,721,
4780,STJA,Steller's Jay,"3, 2, 3B",Geai de Steller,Cyanocitta stelleri,,720,
4790,FLSJ,Florida Scrub-Jay,"3, 2, 2A",Geai à gorge blanche,Aphelocoma coerulescens,Y,722,
4810,WESJ,Western Scrub-Jay,"3, 2, 2A",Geai buissonnier,Aphelocoma californica,,725,
4811,ISSJ,Island Scrub-Jay,"3, 3B",Geai de Santa Cruz,Aphelocoma insularis,,724,
4812,WOSJ,Woodhouse's Scrub-Jay,"3, 2, 2A",,Aphelocoma woodhouseii,,726,
4813,CASJ,California Scrub-Jay,"3, 2, 2A",,Aphelocoma californica,,723,
4820,MEJA,Mexican Jay,"3A, 3B",Geai du Mexique,Aphelocoma wollweberi,,727,
4830,GREJ,Green Jay,"2, 2A, 3",Geai vert,Cyanocorax yncas,,718,
4832,BRJA,Brown Jay,"4A, 4, 3A",Geai enfumé,Psilorhinus morio,,717,
4840,CAJA,Canada Jay,"3, 2, 2A",Mésangeai du Canada,Perisoreus canadensis,,716,
4860,CORA,Common Raven,"7A, 6, 7",Grand Corbeau,Corvus corax,,740,
4870,CHRA,Chihuahuan Raven,"5, 5A",Corbeau à cou blanc,Corvus cryptoleucus,,739,
4871,WNCR,White-necked Crow,"5, 6",Corneille d'Hispaniola,Corvus leucognaphalus,Y,734,
4880,AMCR,American Crow,"5, 5A",Corneille d'Amérique,Corvus brachyrhynchos,,732,
4890,NOCR,Northwestern Crow,"4A, 4",Corneille d'Alaska,Corvus caurinus,,733,
4891,TACR,Tamaulipas Crow,4,Corneille du Mexique,Corvus imparatus,,736,
4892,HCRO,Hawaiian Crow,6,Corneille d'Hawaï,Corvus hawaiiensis,Y,738,
4900,FICR,Fish Crow,"4A, 4",Corneille de rivage,Corvus ossifragus,,737,
4910,CLNU,Clark's Nutcracker,"3, 3B, 3A",Cassenoix d'Amérique,Nucifraga columbiana,,728,
4920,PIJA,Pinyon Jay,"3, 2, 2A",Geai des pinèdes,Gymnorhinus cyanocephalus,,719,
4930,EUST,European Starling,"2, 3, 2A",Étourneau sansonnet,Sturnus vulgaris,,873,
4931,CRMY,Crested Myna,"3, 2",Martin huppé,Acridotheres cristatellus,,874,
4932,COMY,Common Myna,"3A, 3B, 3",Martin triste,Acridotheres tristis,,877,
4933,JAMY,Javan Myna,"1A, 2, 1D",Martin à ventre blanc,Acridotheres javanicus,,875,
4934,HIMY,Hill Myna,3,Mainate religieux,Gracula religiosa,,878,
4935,JUMY,Jungle Myna,"3B, 3",Martin forestier,Acridotheres fuscus,,876,
4940,BOBO,Bobolink,"M: 1A, 1B",Goglu des prés,Dolichonyx oryzivorus,Y,1082,
4940,BOBO,Bobolink,"F: 1B, 1A",Goglu des prés,Dolichonyx oryzivorus,Y,1082,
4950,BHCO,Brown-headed Cowbird,"M: 1A, 1D, 2, 1B",Vacher à tête brune,Molothrus ater,,1098,
4950,BHCO,Brown-headed Cowbird,"F: 1B, 1A, 1D",Vacher à tête brune,Molothrus ater,,1098,
4960,BROC,Bronzed Cowbird,"M: 2, 1D",Vacher bronzé,Molothrus aeneus,,1097,
4960,BROC,Bronzed Cowbird,"F: 1A, 1D",Vacher bronzé,Molothrus aeneus,,1097,
4961,SHCO,Shiny Cowbird,"2, 1D, 1A",Vacher luisant,Molothrus bonariensis,,1096,
4970,YHBL,Yellow-headed Blackbird,"M: 2, 3, 1D",Carouge à tête jaune,Xanthocephalus xanthocephalus,,1089,
4970,YHBL,Yellow-headed Blackbird,"F: 1A, 1D, 2",Carouge à tête jaune,Xanthocephalus xanthocephalus,,1089,
4980,RWBL,Red-winged Blackbird,"M: 2, 1D",Carouge à épaulettes,Agelaius phoeniceus,,1083,
4980,RWBL,Red-winged Blackbird,"F: 1A, 1D",Carouge à épaulettes,Agelaius phoeniceus,,1083,
5000,TRBL,Tricolored Blackbird,"2, 2A, 1D",Carouge de Californie,Agelaius tricolor,,1084,
5001,TSBL,Tawny-shouldered Blackbird,"1B, 1A",Petit Carouge,Agelaius humeralis,,1085,
5002,YSBL,Yellow-shouldered Blackbird,2,Carouge de Porto Rico,Agelaius xanthomus,Y,1086,
5010,EAME,Eastern Meadowlark,M: 3,Sturnelle des prés,Sturnella magna,Y,1087,
5010,EAME,Eastern Meadowlark,"F: 2, 3",Sturnelle des prés,Sturnella magna,Y,1087,
5011,WEME,Western Meadowlark,M: 3,Sturnelle de l'Ouest,Sturnella neglecta,,1088,
5011,WEME,Western Meadowlark,"F: 2, 3",Sturnelle de l'Ouest,Sturnella neglecta,,1088,
5030,AUOR,Audubon's Oriole,2,Oriole d'Audubon,Icterus graduacauda,,1114,
5031,ALOR,Altamira Oriole,3,Oriole à gros bec,Icterus gularis,,1113,
5032,SPOO,Spot-breasted Oriole,2,Oriole maculé,Icterus pectoralis,,1112,
5040,SCOR,Scott's Oriole,1A,Oriole jaune-verdâtre,Icterus parisorum,,1116,
5041,BVOR,Black-vented Oriole,2,Oriole cul-noir,Icterus wagleri,,1103,
5042,BCOR,Black-cowled Oriole,"1A, 1D, 2",Oriole monacal,Icterus prosthemelas,,1104,
5043,CUOR,Cuban Oriole,"1A, 1D, 2",Oriole de Cuba,Icterus melanopsis,,1100,
5044,BAHO,Bahama Oriole,"1A, 1D, 2",Oriole des Bahamas,Icterus northropi,,1099,
5045,PROR,Puerto Rican Oriole,"1A, 1D, 2",Oriole de Porto Rico,Icterus portoricensis,,1102,
5046,HIOR,Hispaniolan Oriole,"1A, 1D, 2",Oriole d'Hispaniola,Icterus dominicensis,,1101,
5050,HOOR,Hooded Oriole,"1A, 1B",Oriole masqué,Icterus cucullatus,,1106,
5051,STRO,Streak-backed Oriole,1A,Oriole à dos rayé,Icterus pustulatus,,1108,
5060,OROR,Orchard Oriole,1B,Oriole des vergers,Icterus spurius,,1105,
5070,BAOR,Baltimore Oriole,"1A, 1B, 1D",Oriole de Baltimore,Icterus galbula,,1115,
5078,BBOH,Baltimore X Bullock's Oriole Hybrid,1A,Hybride d'Oriole de Bullock et d'Oriole de Baltimore,,,1110,
5080,BUOR,Bullock's Oriole,"1A, 1B, 1D",Oriole de Bullock,Icterus bullockii,,1109,
5090,RUBL,Rusty Blackbird,"2, 1D",Quiscale rouilleux,Euphagus carolinus,,1090,
5100,BRBL,Brewer's Blackbird,"2, 1D",Quiscale de Brewer,Euphagus cyanocephalus,,1091,
5110,COGR,Common Grackle,"M: 3, 3B",Quiscale bronzé,Quiscalus quiscula,,1092,
5110,COGR,Common Grackle,"F: 3, 2A",Quiscale bronzé,Quiscalus quiscula,,1092,
5120,GTGR,Great-tailed Grackle,"M: 4, 3A",Quiscale à longue queue,Quiscalus mexicanus,,1094,
5120,GTGR,Great-tailed Grackle,"F: 3, 3B",Quiscale à longue queue,Quiscalus mexicanus,,1094,
5130,BTGR,Boat-tailed Grackle,"M: 4, 3A",Quiscale des marais,Quiscalus major,,1093,
5130,BTGR,Boat-tailed Grackle,"F: 3, 3B",Quiscale des marais,Quiscalus major,,1093,
5131,GAGR,Greater Antillean Grackle,"3, 2",Quiscale noir,Quiscalus niger,,1095,
5140,EVGR,Evening Grosbeak,"1A, 2, 1D",Gros-bec errant,Coccothraustes vespertinus,,1168,
5141,BRAM,Brambling,"1B, 1, 1C",Pinson du Nord,Fringilla montifringilla,,1118,
5142,HAWF,Hawfinch,"1A, 2, 1D",Gros-bec casse-noyaux,Coccothraustes coccothraustes,,1169,
5143,COCH,Common Chaffinch,"1B, 1, 1C",Pinson des arbres,Fringilla coelebs,,1117,
5150,PIGR,Pine Grosbeak,"1A, 1D",Durbec des sapins,Pinicola enucleator,,1124,
5160,EUBU,Eurasian Bullfinch,"1B, 1A",Bouvreuil pivoine,Pyrrhula pyrrhula,,1125,
5161,CORO,Common Rosefinch,"1B, 1, 1C",Roselin cramoisi,Carpodacus erythrinus,,1149,
5170,PUFI,Purple Finch,"1, 1C, 1B",Roselin pourpré,Haemorhous purpureus,,1151,
5180,CAFI,Cassin's Finch,"1B, 1, 1C",Roselin de Cassin,Haemorhous cassinii,,1152,
5190,HOFI,House Finch,"1B, 1, 1C",Roselin familier,Haemorhous mexicanus,,1150,
5210,RECR,Red Crossbill,"1B, 1A",Bec-croisé des sapins,Loxia curvirostra,Newfoundland and Labrador,1153,
5211,CACR,Cassia Crossbill,"1A, 1D",,Loxia sinesciuris,,1154,
5220,WWCR,White-winged Crossbill,1B,Bec-croisé bifascié,Loxia leucoptera,,1155,
5240,GCRF,Gray-crowned Rosy-Finch,"1B, 1A, 1",Roselin à tête grise,Leucosticte tephrocotis,,1121,
5250,BLRF,Black Rosy-Finch,"1B, 1A, 1",Roselin noir,Leucosticte atrata,,1122,
5260,BCRF,Brown-capped Rosy-Finch,"1B, 1A, 1",Roselin à tête brune,Leucosticte australis,,1123,
5261,EUGO,European Goldfinch,0,Chardonneret élégant,Carduelis carduelis,,1164,
5262,ORGR,Oriental Greenfinch,"0, 1C, 1",Verdier de Chine,Chloris sinica,,1165,
5270,HORE,Hoary Redpoll,"0, 0A",Sizerin blanchâtre,Acanthis hornemanni,,1157,
5276,UNRE,Unidentified Common/Hoary Redpoll,0,Sizerin non identifié,,,1158,Unspecified Acanthis flammea or A. hornemanni.
5280,CORE,Common Redpoll,"0, 0A",Sizerin flammé,Acanthis flammea,,1156,
5290,AMGO,American Goldfinch,"0, 0A, 1C, 1",Chardonneret jaune,Spinus tristis,,1163,
5300,LEGO,Lesser Goldfinch,"0A, 0",Chardonneret mineur,Spinus psaltria,,1161,
5310,LAGO,Lawrence's Goldfinch,"0, 0A, 1C, 1",Chardonneret gris,Spinus lawrencei,,1162,
5321,RESI,Red Siskin,0,Chardonneret rouge,Spinus cucullatus,,1160,
5330,PISI,Pine Siskin,"0, 0A",Tarin des pins,Spinus pinus,,1159,
5331,COCA,Common Canary,"1, 1C",Serin des Canaries,Serinus canaria,,1167,
5332,YFCA,Yellow-fronted Canary,"0, 1",Serin du Mozambique,Crithagra mozambica,,1166,
5340,SNBU,Snow Bunting,"1A, 1B",Plectrophane des neiges,Plectrophenax nivalis,,899,
5350,MKBU,McKay's Bunting,"1B, 1A",Plectrophane blanc,Plectrophenax hyperboreus,,900,
5351,RUBU,Rustic Bunting,"1, 1C",Bruant rustique,Emberiza rustica,,1060,
5352,LIBU,Little Bunting,"1C, 1",Bruant nain,Emberiza pusilla,,1059,
5353,GRBU,Gray Bunting,1B,Bruant gris,Emberiza variabilis,,1061,
5354,PALB,Pallas's Bunting,"1, 1C",Bruant de Pallas,Emberiza pallasi,,1062,
5355,REBU,Reed Bunting,"1, 1C",Bruant des roseaux,Emberiza schoeniclus,,1063,
5360,LALO,Lapland Longspur,"1, 1B",Plectrophane lapon,Calcarius lapponicus,,895,
5370,SMLO,Smith's Longspur,"1, 1C",Plectrophane de Smith,Calcarius pictus,,897,
5380,CCLO,Chestnut-collared Longspur,"1, 1C",Plectrophane à ventre noir,Calcarius ornatus,Y,896,
5390,MCLO,McCown's Longspur,"1, 1C",Plectrophane de McCown,Rhynchophanes mccownii,Y,898,
5400,VESP,Vesper Sparrow,"1B, 1, 1C",Bruant vespéral,Pooecetes gramineus,British Columbia,1014,
5410,IPSP,Ipswich Sparrow,"1B, 1",Bruant d’Ipswich,Passerculus sandwichensis princeps,,1024,
5420,SAVS,Savannah Sparrow,"1, 1C, 0",Bruant des prés,Passerculus sandwichensis,,1023,
5430,BSSP,Belding's Savannah Sparrow,"1, 1C",Bruant des prés (Belding),Passerculus sandwichensis beldingi,,1025,
5440,LBSP,Large-billed Sparrow,"1, 1C",Bruant du Sonora,Passerculus sandwichensis rostratus,,1026,
5450,BAIS,Baird's Sparrow,"1, 1C",Bruant de Baird,Centronyx bairdii,,1029,
5460,GRSP,Grasshopper Sparrow,"1, 1C, 0",Bruant sauterelle,Ammodramus savannarum,,1027,Includes all subspecies not A. s. floridanus
5464,FGSP,Florida Grasshopper Sparrow,"1, 1C, 0",Bruant sauterelle forme de la Floride,Ammodramus savannarum floridanus,Y,1028,
5470,HESP,Henslow's Sparrow,"0, 1C, 1",Bruant de Henslow,Ammodramus henslowii,Ontario,1030,
5480,LCSP,LeConte's Sparrow,"1, 1C, 0",Bruant de Le Conte,Ammodramus leconteii,,1031,
5490,SALS,Saltmarsh Sparrow,"1, 1B, 1C",Bruant à queue aiguë,Ammodramus caudacuta,,1033,
